Key	Type	Desc	Português [c0]
Items/BikiniBreastArmorGreen	Text		Top de biquíni verde
Items/BikiniBreastArmorGreenDesc	Text		Uma peça de fato de banho verde que mantém tudo no seu devido lugar. Todo mundo sabe que a armadura mais reveladora é a mais protetora.
Items/BikiniBreastArmorRed	Text		Top de biquíni vermelho
Items/BikiniBreastArmorRedDesc	Text		Uma peça de fato de banho vermelha que mantém tudo no seu devido lugar. Todo mundo sabe que a armadura mais reveladora é a mais protetora.
Items/BikiniPantsArmorBlue	Text		Cueca de Biquíni Azul
Items/BikiniPantsArmorBlueDesc	Text		Uma peça de cueca azul que combina bem com a parte de cima. Livre-se de roupas desnecessárias e corra livremente ao sol!
Items/BikiniPantsArmorGreen	Text		Cueca de Biquíni Verde
Items/BikiniPantsArmorGreenDesc	Text		Uma peça de cueca verde que combina bem com a parte de cima. Livre-se de roupas desnecessárias e corra livremente ao sol!
Items/BikiniPantsArmorRed	Text		Cueca de biquíni vermelha
Items/BikiniPantsArmorRedDesc	Text		Uma peça de cueca vermelha que combina bem com a parte de cima. Livre-se de roupas desnecessárias e corra livremente ao sol!
Items/BindingString	Text		Linha do Destino
Items/BindingStringDesc	Text		Uma corda misteriosa tecida de filamentos finos. Ele pode ser usado para unir um conjunto de cartas.
Items/BirdBossScanner	Text		Scanner Azeos the Sky Titan
Items/BirdBossScannerDesc	Text		Escaneia o mundo em busca de Azeos, o Titã do Céu. Consumido na verificação bem-sucedida.
Items/BlackBubblePearl	Text		Pérola Bolha Negra
Items/BlackBubblePearlDesc	Text		Uma variante preta da pérola bolha, de certos ângulos parece dourada.
Items/BlackDesertDiamond	Text		Diamante do Deserto Negro
Items/BlackDesertDiamondDesc	Text		A variante preta de um diamante do deserto que é muito procurada pelos mineradores. Parece inverter a luz refletida e devolve-la como sombras.
Items/BlackNecklace	Text		colar preto
Items/BlackNecklaceDesc	Text		Um colar feito de metal preto como breu que deixa manchas escuras em seu pescoço.
Items/BlackRing	Text		anel preto
Items/BlackRingDesc	Text		Um anel feito de metal preto como breu, escurecido pela presença constante de imenso calor.
Items/BlackSteelUrchin	Text		ouriço de aço preto
Items/BlackSteelUrchinDesc	Text		Uma rara criatura marinha com pontas duras como aço.
Items/BloatOat	Text		Aveia Inchada
Items/BloatOatDesc	Text		Um punhado de cereal saudável que te sacia e te dá energia.
Items/BloatOatRare	Text		Aveia Recheada Dourada
Items/BloatOatRareDesc	Text		Uma variante muito rara da aveia comum.
Items/BloatOatSeed	Text		Semente de Aveia Inchada
Items/BloatOatSeedDesc	Text		Cresce em uma colheita de enchimento quando plantada.
Items/BlobRosaryNecklace	Text		Colar Blob Rosário
Items/BlobRosaryNecklaceDesc	Text		Colar pegajoso infundido com energia feito para um propósito desconhecido.
Items/BloodSkull	Text		Crânio de Sangue
Items/BloodSkullDesc	Text		Os restos carmesim de alguém que encontrou um destino terrível.
Items/Blowpipe	Text		Zarabatana
Items/BlowpipeDesc	Text		Uma arma simples carregada com dardos venenosos.
Items/BlueCaveGuppy	Text		Guppy Caverna Azul
Items/BlueCaveGuppyDesc	Text		Pequenos peixes azuis abrigam os lagos de cavernas de terra.
Items/BlueFireFly	Text		vagalume azul
Items/BlueFireFlyDesc	Text		Este inseto voador sempre aparece em enxames que aparecem como luzes dançantes. Seu brilho azul é específico do bioma.
Items/BlueGlassKalimba	Text		Kalimba de vidro azul
Items/BlueGlassKalimbaDesc	Text		"Um instrumento delicado que tem múltiplas fraturas em sua superfície, tornando-o inutilizável. Há uma assinatura que diz ""Woopsiee"", que foi esculpida no vidro."
Items/BlueGlassShard	Text		caco de vidro azul
Items/BlueGlassShardDesc	Text		Um pedaço de vidro azul profundo, parece ser uma fusão de areia derretida e pedras preciosas antigas.
Items/BlueKelp	Text		Alga Azul
Items/BlueKelpDesc	Text		Um caroço azul de plantas marinhas, nada útil.
Items/BlueSlimeTrophy	Text		estatueta de lodo azul
Items/BlueSlimeTrophyDesc	Text		Uma representação realista de um Blue Slime escorregadio.
Items/Boat	Text		Barco
Items/BoatDesc	Text		Permite viajar sobre a água.
Items/BoatWorkbench	Text		bancada de barco
Items/BoatWorkbenchDesc	Text		Esta ampla estação de trabalho permite a construção de diferentes barcos. Ahoy!
Items/Bomb	Text		Bomba
Items/BombDesc	Text		Um explosivo mais forte para controlar multidões e enfrentar inimigos gigantes.
Items/BombPepper	Text		Bomba de pimenta
Items/BombPepperDesc	Text		Um vegetal feroz para apimentar os alimentos.
Items/BombPepperRare	Text		 Bomba de Pimenta Dourada
Items/BombPepperRareDesc	Text		Uma variante muito rara da bomba de pimenta comum.
Items/BombPepperSeed	Text		Semente de Bomba de Pimenta
Items/BombPepperSeedDesc	Text		Cresce em um vegetal picante quando plantado.
Items/BombRing	Text		anel de bomba
Items/BombRingDesc	Text		Um anel coroado com um pequeno ídolo bomba. Manusear explosivos enquanto o usa resulta em uma explosão ainda mais forte.
Items/BombScarabTrophy	Text		estatueta de escaravelho de bomba
Items/BombScarabTrophyDesc	Text		Uma representação realista de um Bomb Scarab.
Items/BoneCreole	Text		osso crioulo
Items/BoneCreoleDesc	Text		Uma peça bruta de joalheria esculpida em osso.
Items/BoneNecklace	Text		colar de osso
Items/BoneNecklaceDesc	Text		Uma peça primitiva de joalheria feita de pequenos ossos. Os primeiros humanos também os fizeram por muitas razões diferentes.
Items/BoneRing	Text		anel de osso
Items/BoneRingDesc	Text		Um anel pré-histórico e bruto feito de osso. Anéis como esses foram descobertos em sepulturas humanas primitivas.
Items/BossChest	Text		Baú do Titã
Items/BossChestDesc	Text		Um baú grande e antigo com pedras preciosas.
Items/BottomTracer	Text		Rastreador Inferior
Items/BottomTracerDesc	Text		Um peixe amarelo brilhante com longos barbilhões que arrasta pelo fundo do mar em busca de comida.
Items/BoxOfChocolates	Text		Caixa de chocolates
Items/BoxOfChocolatesDesc	Text		Esses chocolates vêm em uma linda caixa de presente e são de derreter a boca e o coração.
Items/BrightLavaEater	Text		comedor de lava brilhante
Items/BrightLavaEaterDesc	Text		Um peixe brilhante com barriga de fogo que parece se alimentar puramente de pedra líquida e das gemas capturadas dentro.
Items/BrokenCoreIdol	Text		Ídolo do Núcleo Quebrado
Items/BrokenCoreIdolDesc	Text		Um objeto de aparencia familiar.
Items/BrokenGourd	Text		cabaça quebrada
Items/BrokenGourdDesc	Text		Um recipiente quebrado feito de barro. Foi usado para transportar rações de água através do deserto.
Items/BrokenGrave	Text		Sepultura danificada
Items/BrokenGraveDesc	Text		Uma sepultura parcialmente quebrada que sobreviveu às correntes do tempo ou a uma rápida tentativa de ganhar um tesouro.
Items/BrokenLegendarySword	Text		Punho quebrado
Items/BrokenLegendarySwordDesc	Text		Um pedaço de uma arma antiga. Mesmo que seja apenas a alça, ela já parece misteriosamente equilibrada em sua mão.
Items/BrokenStonePillar	Text		Pilar de Pedra Quebrada
Items/BrokenStonePillarDesc	Text		Pilar instável para decoração, provavelmente com milhares de anos.
Items/BrokenToyShip	Text		Navio de Brinquedo Quebrado
Items/BrokenToyShipDesc	Text		Um navio de madeira vazando e sem a vela.
Items/BronzeBreastArmor	Text		peitoral de bronze
Items/BronzeBreastArmorDesc	Text		Uma boa armadura para sobreviver às batalhas com mais facilidade.
Items/BronzeHelm	Text		Elmo de bronze
Items/BronzeHelmDesc	Text		Este elmo repele golpes leves na cabeça.
Items/BronzePantsArmor	Text		Calça Bronze
Items/BronzePantsArmorDesc	Text		Algum bronze para a canela.
Items/BrownDuneTail	Text		Cauda da Duna Marrom
Items/BrownDuneTailDesc	Text		Este peixe marrom e ágil é capaz de se mover entre os poços de água no deserto para mudar de área de alimentação.
Items/BubbleGun	Text		Arma de bolhas
Items/BubbleGunDesc	Text		Uma estranha arma de longo alcance que atira bolhas flutuantes, adicionando movimento escorregadio ao contato.
Items/BubblePearl	Text		Pérola Bolha
Items/BubblePearlDesc	Text		Uma pérola linda e iridescente. Parece ser oco.
Items/BubblePearlNecklace	Text		Colar de pérolas bolha
Items/BubblePearlNecklaceDesc	Text		Joias naturais feitas de pérolas bolha raras.
Items/BugNet	Text		Rede de insetos
Items/BugNetDesc	Text		Esta ferramenta útil permite que voce pegue criaturas minúsculas em vez de pisar nelas acidentalmente.
Items/Burnzooka	Text		Burnzooka
Items/BurnzookaDesc	Text		Esta arma de fogo foi modelada após o grubzooka, mas aprimorada com blindagem de rocha de lava para conter seu poder. Pode explodir paredes de pedra e qualquer coisa mais fraca.
Items/Bush	Text		Arbusto
Items/BushDesc	Text		Relva atarracada para usar como decoração.
Items/ButterflyBase	Text		Asa Carmesim
Items/ButterflyBaseDesc	Text		Uma pequena borboleta com asas vermelho-escuras que busca a companhia de outras criaturas.
Items/ButterflyCitrus	Text		pinhão cítrico
Items/ButterflyCitrusDesc	Text		Uma borboleta erraticamente esvoaçante que tem cores brilhantes irritantes a olho nu.
Items/ButterflyDreamy	Text		Mensageiro dos Sonhos
Items/ButterflyDreamyDesc	Text		Dizem ser uma portadora de bons sonhos, esta borboleta é sempre vista entre as criaturas adormecidas.
Items/ButterflyIcy	Text		Vento de Gelo
Items/ButterflyIcyDesc	Text		Esta borboleta azul bate suas asas tão rápido que cria correntes de ar frio.
Items/ButterflySunset	Text		fada do crepúsculo
Items/ButterflySunsetDesc	Text		Uma pequena borboleta com asas muito delicadas. Pegá-lo sem prejudicá-los requer muita cautela.
Items/Calendar	Text		calendário sazonal
Items/CalendarDesc	Text		Um calendário útil que atrairá um comerciante obscuro quando colocado em uma sala habitável. Dependendo da estação, ele vestirá trajes diferentes e oferecerá novos itens.
Items/Campfire	Text		fogueira
Items/CampfireDesc	Text		Ótimo para se amontoar, contar histórias e queimar marshmallows até ficarem crocantes.
Items/Candle	Text		Vela
Items/CandleDesc	Text		Esta vela decorativa simples pode ser colocada em qualquer lugar para criar um ambiente aconchegante.
Items/CarapaceBreastArmor	Text		Peitoral Carapaça
Items/CarapaceBreastArmorDesc	Text		Uma armadura corporal orgânica semelhante à concha de Ghorm, é pesada e parece estranha por dentro.
Items/CarapaceHelm	Text		Carapace Helm
Items/CarapaceHelmDesc	Text		Um pedaço de cabeça folheado a quitina, usá-lo te enche de vontade de cavar caminhos através da escuridão.
Items/Carpenter	Text		mesa de carpinteiro
Items/CarpenterDesc	Text		Bancada para elaboração de móveis decorativos.
Items/Carrock	Text		Cenorita
Items/CarrockDesc	Text		Vegetal duro como pedra que te fortalece.
Items/CarrockRare	Text		Cenorita Dourada
Items/CarrockRareDesc	Text		Uma variante muito rara da cenorita comum.
Items/CarrockSeed	Text		Semente de Cenorita
Items/CarrockSeedDesc	Text		Uma semente dura que só cresce em pedra.
Items/CartographyTable	Text		Tabela de Cartografia
Items/CartographyTableDesc	Text		Uma mesa para compartilhar suas descobertas de mapas com outros exploradores.
Items/CaveGuppyNecklace	Text		Colar Guppy da Caverna
Items/CaveGuppyNecklaceDesc	Text		Colar estranho feito de um peixe que não largava o anzol.
Items/CavePouch	Text		bolsa de caverna
Items/CavePouchDesc	Text		Todo minerador subterrâneo precisa de um desses!
Items/CavelingAssassinTrophy	Text		Estatueta Cavernoso Assassino
Items/CavelingAssassinTrophyDesc	Text		Uma representação realista de um Cavernoso Assassino
Items/CavelingBed	Text		Cama Cavernoso
Items/CavelingBedDesc	Text		Não parece muito confortável.
Items/CavelingBread	Text		Pão de Cavernoso
Items/CavelingBreadDesc	Text		Pão seco e duro. Parece mastigar giz, mas enche o estômago.
Items/CavelingBreastArmor	Text		Peitoral de Cavernoso
Items/CavelingBreastArmorDesc	Text		Feito de couro de larva, bom para movimentos desimpedidos em combate.
Items/CavelingBruteTrophy	Text		Cavernoso Brute Estatueta
Items/CavelingBruteTrophyDesc	Text		Uma representação realista de um Cavernoso Brute.
Items/CavelingChair	Text		Cadeira de Cavernoso
Items/CavelingChairDesc	Text		Um banquinho feito de pedra.
Items/CavelingCoffee	Text		Café de Cavernoso
Items/CavelingCoffeeDesc	Text		Uma bebida forte e engarrafada feita com ingredientes desconhecidos. Depois de ingerir é difícil voce ficar parado.
Items/CavelingCrunch	Text		Cavernoso Crunch
Items/CavelingCrunchDesc	Text		Um lanche robusto e doce em um invólucro. Deve ter milhares de anos e provavelmente ainda é comestível por mais alguns.
Items/CavelingCup	Text		Taça de Cavernoso
Items/CavelingCupDesc	Text		Este pequeno copo que bebe deve ter contido muitas bebidas diferentes. Ainda há um leve cheiro de algo doce.
Items/CavelingDoll	Text		Boneca Cavernosa
Items/CavelingDollDesc	Text		Uma boneca artesanal encontrada em um túmulo. Deve ter pertencido a uma criança...
Items/CavelingEffigy	Text		Efígie de Cavernoso
Items/CavelingEffigyDesc	Text		Uma pequena representação de um cavalinho, é oco e deve ter sido utilizado para guardar pequenas mercadorias.
Items/CavelingFarmerTrophy	Text		Estatueta de Jardineiro Cavernoso
Items/CavelingFarmerTrophyDesc	Text		Uma representação realista de um Jardineiro Cavernoso.
Items/CavelingFloorTile	Text		Pavimento de Cavernoso
Items/CavelingFloorTileDark	Text		Ladrilho de piso de desmoronamento escuro
Items/CavelingFloorTileDarkDesc	Text		Uma versão escura dos antigos ladrilhos, parece muito mais velha.
Items/CavelingFloorTileDesc	Text		Uma laje de pedra quebradiça com padrões simples embutidos nela.
Items/CavelingHelm	Text		Capuzinho
Items/CavelingHelmDesc	Text		Capuz de armadura leve que esconde o rosto.
Items/CavelingHunterTrophy	Text		Estatueta Caçadora de Cavernoso
Items/CavelingHunterTrophyDesc	Text		Uma representação realista de um Cavernoso Caçador.
Items/CavelingID	Text		Identidade de Cavernoso
Items/CavelingIDDesc	Text		Um cartão resistente que pertenceu a um cidadão da metrópole abandonada. Tem milhares de anos, mas a impressão excelente não desbotou.
Items/CavelingInfectedTrophy	Text		Estatueta de Cavernoso Infectado
Items/CavelingInfectedTrophyDesc	Text		Uma representação realista de um Cavernoso Infectado.
Items/CavelingMedal	Text		Medalha de Cavernoso
Items/CavelingMedalDesc	Text		Medalhão cunhado com relevo facial. Já foi concedido a alguém extraordinário uma vez?
Items/CavelingMothersRing	Text		Cavelling Anel da Mãe
Items/CavelingMothersRingDesc	Text		Um velho anel de cristal, segurando-o te enche de um sentimento triste que voce não consegue descrever.
Items/CavelingPantsArmor	Text		Calça de Cavernoso
Items/CavelingPantsArmorDesc	Text		Essas calças não cobrem muito, mas tornam seus movimentos mais elusivos.
Items/CavelingPerfume	Text		Perfume de Cavernoso
Items/CavelingPerfumeDesc	Text		Um frasco de fragrância azul. É hermeticamente fechado, mas emite um perfume celestial.
Items/CavelingPot	Text		Pote de Cavernoso
Items/CavelingPotDesc	Text		Uma urna feita de pedra cheia de pertences de cavernosos.
Items/CavelingProphetMask	Text		Máscara do Profeta Cavernoso
Items/CavelingProphetMaskDesc	Text		Esta máscara intrincada parece ter sido usada por uma importante figura espiritual.
Items/CavelingSandal	Text		sandália de cavernoso
Items/CavelingSandalDesc	Text		Este calçado simples é perfeito como proteção contra a areia quente do deserto. Infelizmente é muito pequeno para ser usado por um humano.
Items/CavelingShamanTrophy	Text		Estatueta Xamã Cavernoso
Items/CavelingShamanTrophyDesc	Text		Uma representação realista de um Xamã Cavernoso.
Items/CavelingSkinTome	Text		Tomo de Couro Azul
Items/CavelingSkinTomeDesc	Text		Um livro antigo com capas azuis costuradas. isso é pele?
Items/CavelingSkirmisherTrophy	Text		Estatueta Cavernoso Escaramuçador
Items/CavelingSkirmisherTrophyDesc	Text		Uma representação realista de um Cavernoso Escaramuçador.
Items/CavelingSkull	Text		Caveira de Cavernoso
Items/CavelingSkullDesc	Text		Restos do que já foi uma orgulhosa civilização.
Items/CavelingSpearmanTrophy	Text		Estatueta de Cavernoso Lanceiro
Items/CavelingSpearmanTrophyDesc	Text		Uma representação realista de um Cavernoso Lanceiro.
Items/CavelingTable	Text		mesa de desmoronamento
Items/CavelingTableDesc	Text		Uma peça de mobília tosca e em blocos, muitas refeições devem ter sido compartilhadas nela.
Items/CavelingThrone	Text		Trono de desmoronamento
Items/CavelingThroneDesc	Text		Esta sede incomum é a prova de um império em ruínas.
Items/CavelingToilet	Text		Banheiro Cavernoso
Items/CavelingToiletDesc	Text		Entre a mineração, deve haver tempo para negócios sérios.
Items/CavelingTrophy	Text		Estatueta de Cavernoso
Items/CavelingTrophyDesc	Text		Uma representação realista de um Cavernoso.
Items/CeremonialFlute	Text		Flauta Cerimonial
Items/CeremonialFluteDesc	Text		Um instrumento antigo e precioso, mas está entupido.
Items/CharredCavelingSkull	Text		Caveira carbonizada
Items/CharredCavelingSkullDesc	Text		Um pequeno crânio queimava escuro até a medula. A exposição ao calor intenso por muito tempo faz com que algo assim aconteça.
Items/ChewyConeCandy	Text		Doce de Casquinha Mastigável
Items/ChewyConeCandyDesc	Text		Um doce super doce que acaba no vão dos seus dentes. E está aí para ficar.
Items/ChippedPlate	Text		Prato Lascado
Items/ChippedPlateDesc	Text		Um velho prato de pedra. Que tipo de comida foi servida nele?
Items/ChristmasBruteTrophy	Text		Estatueta Bruta de Padaria
Items/ChristmasBruteTrophyDesc	Text		Uma representação realista de uma Estatueta Bruta de Padaria.
Items/ChristmasCavelingTrophy	Text		Estatueta de Gengibre
Items/ChristmasCavelingTrophyDesc	Text		Uma representação realista de um Gengibre.
Items/ChristmasFireplace	Text		Lareira festiva
Items/ChristmasFireplaceDesc	Text		Esta lareira é um ótimo complemento para qualquer base quando está frio lá fora. O fogo crepitante e o cheiro de madeira queimando contribuem para uma atmosfera caseira.
Items/ChristmasLightDecorationMix	Text		Luzes de parede festivas
Items/ChristmasLightDecorationMixDesc	Text		Uma mistura de luzes coloridas para decorar as paredes.
Items/ChristmasLightDecorationPaintable	Text		Luzes de parede festivas pintáveis
Items/ChristmasLightDecorationPaintableDesc	Text		Pequenas luzes coloridas para decorar as paredes.
Items/ChristmasLuxuryPresent	Text		Presente de inverno de luxo
Items/ChristmasLuxuryPresentDesc	Text		Um misterioso presente de ouro com conteúdo desconhecido. Abra-o e espreite para dentro!
Items/ChristmasPresent	Text		Presente de Inverno
Items/ChristmasPresentDesc	Text		Um presente misterioso com conteúdo desconhecido. Abra-o e espreite para dentro!
Items/ChristmasShamanTrophy	Text		Estatueta Shaman Starwand
Items/ChristmasShamanTrophyDesc	Text		Uma representação realista de um Starwand Shaman.
Items/ChristmasShroomanTrophy	Text		Estatueta Shrooman do Papai Noel
Items/ChristmasShroomanTrophyDesc	Text		Uma representação realista de um Papai Noel Shrooman.
Items/ChristmasSlimeTrophy	Text		Snowhead Slime Figurine
Items/ChristmasSlimeTrophyDesc	Text		Uma representação realista de um Snowhead Slime.
Items/ChristmasSnowman	Text		Boneco de neve
Items/ChristmasSnowmanDesc	Text		Um sujeito frio que surgiu empilhando grandes bolas de neve. Mantenha-o por perto para não se sentir mais tão sozinho.
Items/ChristmasSpikedSlimeTrophy	Text		Estatueta de Slime de Cenoura
Items/ChristmasSpikedSlimeTrophyDesc	Text		Uma representação realista de um Slime de Cenoura.
Items/ChristmasStool	Text		banqueta festiva
Items/ChristmasStoolDesc	Text		Um banquinho bonito que combina bem com uma mesa ricamente decorada. É difícil ficar parado na hora de abrir os presentes.
Items/ChristmasTable	Text		mesa festiva
Items/ChristmasTableDesc	Text		Esta grande mesa serve como uma boa base para preparar um excelente jantar e reunir a família.
Items/ChristmasTree	Text		Árvore de inverno decorada
Items/ChristmasTreeDesc	Text		Comemorar a estação fria não está completo sem montar um desses. O ponto central de cada gramado bem decorado ou sala de estar.
Items/ChristmasWallDecorationA	Text		Decoração de parede guirlanda de inverno
Items/ChristmasWallDecorationADesc	Text		Esta guirlanda simples ficará bem em qualquer parede e mostrará aos visitantes que finalmente é feriado.
Items/ChristmasWallDecorationB	Text		Decoração de parede de meias de férias
Items/ChristmasWallDecorationBDesc	Text		Uma meia aconchegante para pendurar na parede. Por tradição, estes eram cheios de pequenas bugigangas e doces.
Items/ChristmasWallDecorationC	Text		Decoração de parede de bastão de doces
Items/ChristmasWallDecorationCDesc	Text		Dois bastões de doces cruzados que são mais para decoração, não para consumo. Coloque-os na parede para um belo toque de inverno.
Items/ChristmasWallDecorationD	Text		Decoração de parede com velas de inverno
Items/ChristmasWallDecorationDDesc	Text		Duas velas invernais sobre um prato para velas, feito para pendurar na parede. Cuidado com o fogo, no entanto.
Items/ChristmasWallDecorationE	Text		Decoração de parede de floco de neve Schneeflocken-Wanddekoration
Items/ChristmasWallDecorationEDesc	Text		Um delicado floco de neve que vai ficar lindo nas paredes da sua casa.
Items/ChristmasWorkbench	Text		Bancada festiva
Items/ChristmasWorkbenchDesc	Text		Esta mesa de artesanato é perfeita para criar decorações natalinas para a estação fria.
Items/Chrysalis	Text		Crisálida
Items/ChrysalisDesc	Text		Cobertura de solo nojenta que parece estranha de atravessar. As larvas irão infestar áreas cobertas de crisálidas ao longo do tempo.
Items/CityCavelingMoss	Text		musgo urbano
Items/CityCavelingMossDesc	Text		Plantas terrestres encontradas na metrópole abandonada. Eles cultivam pequenas bagas que atraem Cavernosos da área correspondente.
Items/CityDestructible	Text		Caixote Metrópolis
Items/CityDestructibleDesc	Text		Este precioso recipiente contém itens úteis que foram usados ​​pelos cidadãos da cidade antiga.
Items/ClayCavelingMoss	Text		musgo de argila
Items/ClayCavelingMossDesc	Text		Plantas terrestres encontradas nas Cavernas de Barro. Eles cultivam bagas aromáticas que atraem Cavernosos da área correspondente.
Items/ClayPot	Text		panela de barro
Items/ClayPotDesc	Text		Um conteiner bruto que já está quase quebrado. Esmague-o para livrá-lo de seu conteúdo.
Items/ClotRing	Text		Anel de Coágulo
Items/ClotRingDesc	Text		Um anel vermelho-sangue que se prende ao seu dedo.
Items/CocoonTrophy	Text		estatueta de casulo
Items/CocoonTrophyDesc	Text		Uma representação realista de um casulo.
Items/ColossCicada	Text		Casco de cigarra colossal
Items/ColossCicadaDesc	Text		O casco descartado de um inseto gigante que vive adormecido no solo por séculos. Quando surge para assumir sua forma final, ocorrem fortes terremotos.
Items/ConceiledBlade	Text		Lâmina Oculta
Items/ConceiledBladeDesc	Text		Uma faca presa a uma pulseira escondida entre camadas de tecido. É perfeito para um ataque furtivo insuspeito.
Items/ConchShellNecklace	Text		Colar de Concha
Items/ConchShellNecklaceDesc	Text		Um lindo colar com uma pequena concha. Quando voce o segura junto ao ouvido, pode ouvir ondas distantes.
Items/ConveyorBelt	Text		Esteira rolante
Items/ConveyorBeltDesc	Text		Transporte seus recursos!
Items/CookHelm	Text		Chapéu de Mestre-Cuca
Items/CookHelmDesc	Text		A marca registrada de todo cozinheiro profissional. Prova de que mesmo no underground o sabor pode ter prioridade sobre a nutrição.
Items/CookPants	Text		Calças de Mestre-Cuca
Items/CookPantsDesc	Text		Com um avental, essas calças são feitas para provar seu valor no vapor e calor de uma cozinha de caverna.
Items/CookShirt	Text		Jaqueta de Mestre-Cuca
Items/CookShirtDesc	Text		É apenas uma jaqueta branca impecável, mas o lenço vermelho torna oficial. Hora de começar a cozinhar!
Items/CookedCereal	Text		Cereal
Items/CookedCheese	Text		Queijo
Items/CookedDipSnack	Text		Lanche Dip
Items/CookedFillet	Text		Filé
Items/CookedFishBalls	Text		Bolas de peixe
Items/CookedPudding	Text		Pudim
Items/CookedSalad	Text		Salada
Items/CookedSmoothie	Text		smoothie
Items/CookedSoup	Text		Sopa
Items/CookedSteak	Text		Bife
Items/CookedSushi	Text		Sushi
Items/CookedWrap	Text		Enrolar
Items/CookiesAndMilk	Text		Biscoitos e Leite
Items/CookiesAndMilkDesc	Text		Trocar com aquele que decide quem é safado e quem é bonzinho.
Items/CookingPot	Text		Panela
Items/CookingPotDesc	Text		Cozinhar ingredientes traz todo o seu potencial. Combine dois e veja o que acontece!
Items/CopperAnvil	Text		bigorna de cobre
Items/CopperAnvilDesc	Text		Comece criando armaduras para visual e combate.
Items/CopperBar	Text		Barra de cobre
Items/CopperBarDesc	Text		Um lingote de metal simples para ferraria.
Items/CopperBreastArmor	Text		peitoral de cobre
Items/CopperBreastArmorDesc	Text		Não tem sixpack? Basta criar um!
Items/CopperChest	Text		baú de cobre
Items/CopperChestDesc	Text		Um baú tosco feito de cobre. Não está mais bloqueado.
Items/CopperCrossNecklace	Text		Colar Cruz de Cobre
Items/CopperCrossNecklaceDesc	Text		Este pingente aguça o foco, permitindo golpes mais precisos.
Items/CopperHelm	Text		elmo de cobre
Items/CopperHelmDesc	Text		Assemelha-se mais a um balde, mas repele golpes fortes na cabeça.
Items/CopperHoe	Text		enxada de cobre
Items/CopperHoeDesc	Text		Uma ferramenta robusta para preparar o terreno para a agricultura.
Items/CopperKey	Text		chave de cobre
Items/CopperKeyDesc	Text		Uma chave bruta fundida em cobre. Deve haver uma fechadura em algum lugar onde ela se encaixe.
Items/CopperMiningPick	Text		Picareta de Cobre
Items/CopperMiningPickDesc	Text		Uma ferramenta robusta, adequada para derrubar paredes sem esforço.
Items/CopperOre	Text		Minério de cobre
Items/CopperOreDesc	Text		Comumente encontrado em paredes de terra.
Items/CopperPantsArmor	Text		Calça Cobre
Items/CopperPantsArmorDesc	Text		Protege as canelas com facilidade.
Items/CopperShovel	Text		pá de cobre
Items/CopperShovelDesc	Text		Uma pá robusta, boa para cavar terreno.
Items/CopperSword	Text		espada de cobre
Items/CopperSwordDesc	Text		Uma boa arma para matar inimigos.
Items/CoralAmulet	Text		amuleto de coral
Items/CoralAmuletDesc	Text		Um colar feito com uma bonita insígnia de coral e pedrinhas brancas.
Items/CoralBridge	Text		ponte de coral
Items/CoralBridgeDesc	Text		Uma ponte brilhante sustentada por pilares de coral que se estendem até o fundo do mar.
Items/CoralFence	Text		cerca de coral
Items/CoralFenceDesc	Text		Uma pequena cerca feita de corais rosa.
Items/CoralFenceGate	Text		Portão de cerca de coral
Items/CoralFenceGateDesc	Text		Um portão apropriado para a cerca de coral.
Items/CoralFloor	Text		Piso de Coral
Items/CoralFloorDesc	Text		Um piso feito de pequenos ladrilhos orgânicos e seixos do fundo do mar de cores diferentes.
Items/CoralPlank	Text		Tábua de coral
Items/CoralPlankDesc	Text		Ardósia de madeira coral para trabalhos de carpintaria mais precisos.
Items/CoralRing	Text		anel de coral
Items/CoralRingDesc	Text		Um anel intrincado que cresceu naturalmente a partir de corais ramificados rosa.
Items/CoralRootSeed	Text		semente de coral
Items/CoralRootSeedDesc	Text		Uma vez plantada, ela espalha corais em todas as direções. Só cresce na areia da praia.
Items/CoralWood	Text		madeira de coral
Items/CoralWoodDesc	Text		Um tipo de coral vermelho que é ótimo para artesanato.
Items/CoreEye	Text		Núcleo da Íris
Items/CoreEyeDesc	Text		Um cristal manufaturado que se parece com o olho do núcleo. Este é cru e inacabado, como se algo interrompesse o processo.
Items/CoreProtocol1	Text		Protocolo de desligamento
Items/CoreProtocol1Desc	Text		Esta ardósia azul representa um gráfico de um aumento súbito nos níveis de energia antes de entrar em colapso.
Items/CoreProtocol2	Text		Relatório de Anomalia
Items/CoreProtocol2Desc	Text		Esta ardósia azul representa um gráfico de uma perturbação nos padrões anteriores, resultando em processos mais avançados.
Items/CoreProtocol3	Text		Substituir transcrição
Items/CoreProtocol3Desc	Text		Esta ardósia azul representa um gráfico de uma entidade redistribuindo o poder de processamento de várias fontes.
Items/CoreTrophy	Text		Estatueta central
Items/CoreTrophyDesc	Text		Uma representação realista do núcleo.
Items/CrabTrophy	Text		Caranguejo Bolha Estatueta
Items/CrabTrophyDesc	Text		Uma representação realista de um caranguejo-bolha.
Items/CritterBeetle	Text		Blackbug
Items/CritterBeetleDesc	Text		Este minúsculo bug aparece em muitos lugares diferentes. Neste momento está à procura de um novo lar.
Items/CritterCentipede	Text		muitas pernas
Items/CritterCentipedeDesc	Text		Esta criatura do deserto tem uma quantidade desconhecida de pernas. Simplesmente levaria muito tempo para contá-los.
Items/CritterCockroach	Text		inseto praga
